id,as_of,type,publisher,title,url,role
S16,2026-07-01,data,U.S. Department of Energy,Powering America's AI Future Data Center Resource Hub,https://www.energy.gov/powering-americas-ai-future-data-center-resource-hub,U.S. data-center electricity scenarios
S17,2026-01-01,research,U.S. Government Accountability Office,Semiconductors: Information on Projects Funded to Strengthen U.S. Supply Chain,https://www.gao.gov/products/gao-26-107882,CHIPS project pipeline
S18,2026-07-26,research,Semiconductor Industry Association,2026 State of the Industry Report,https://www.semiconductors.org/2026-state-of-the-industry-report-historic-growth-amid-intensifying-global-competition/,semiconductor investment pipeline
S19,2026-07-30,policy,European Commission,AI Gigafactories,https://commission.europa.eu/topics/competitiveness/competitiveness-coordination-tool-projects/ai-gigafactories_en,EU sovereign compute resolution
S20,2026-03-19,data,World Trade Organization,Global Trade Outlook and Statistics March 2026,https://www.wto.org/english/news_e/news26_e/stat_19mar26_329_e.htm,MFN share and trade outlook
S21,2026-07-27,data,World Trade Organization and IMF,WTO-IMF Tariff Tracker,https://ttd.wto.org/en/reports/tariff-actions,tariff resolution
S22,2026-04-08,research,Yale Budget Lab,State of U.S. Tariffs April 8 2026,https://budgetlab.yale.edu/sites/default/files/page_to_pdf/1466/publication_1466.pdf,U.S. effective tariff baseline
S23,2026-04-14,data,International Monetary Fund,World Economic Outlook April 2026,https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026,macro baselines
S24,2026-03-23,research,Federal Reserve Board,China's Trade Dominance and the Role of Industrial Policies,https://www.federalreserve.gov/econres/notes/feds-notes/chinas-trade-dominance-and-the-role-of-industrial-policies-20260323.html,China trade and industrial policy
S25,2026-02-18,research,International Monetary Fund,People's Republic of China 2025 Article IV,https://www.imf.org/-/media/files/publications/cr/2026/english/1chnea2026001-source-pdf.pdf,China rebalancing countercase
S26,2026-07-16,research,International Energy Agency,Global Critical Minerals Outlook 2026,https://www.iea.org/reports/global-critical-minerals-outlook-2026/executive-summary,concentration and export controls
S27,2026-04-01,data,OECD,Inventory of Export Restrictions on Critical Raw Materials 2026,https://www.oecd.org/content/dam/oecd/en/publications/reports/2026/04/oecd-inventory-of-export-restrictions-on-critical-raw-materials-2026_2cedac0b/d5ca8f62-en.pdf,export-restriction resolution
S28,2026-01-01,research,Global Trade Alert,Security First: How Industrial Policy Changed in 2025,https://globaltradealert.org/reports/how-industrial-policy-changed-in-2025,industrial-policy base rates
S29,2026-03-19,research,Global Trade Alert,New Converts: The Return of Discriminatory Public Procurement,https://globaltradealert.org/reports/New-Converts-The-Return-of-Discriminatory-Public-Procurement,procurement policy base rates
S30,2026-05-28,research,International Monetary Fund,Industrial Policy Is Adapting to Crises,https://www.imf.org/en/blogs/articles/2026/05/28/industrial-policy-is-adapting-to-crises-but-remains-hard-to-implement-effectively,implementation failures
S31,2026-06-12,research,Calvin Zhang,AI Data Centers and Electricity Prices: Much Ado About Something?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6930258,local price spillovers
S32,2026-05-12,research,Darmouni Lehner and Zhang,The Energy Cost of AI and Data Centers,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6751399,energy-price and emissions scenarios
S33,2026-04-01,research,NBER and U.S. Census,The Microstructure of AI Diffusion,https://www.nber.org/papers/w35141,firm-count adoption baseline and scope
S34,2026-02-01,research,NBER,Firm Data on AI,https://www.nber.org/papers/w34836,realized impact versus executive expectations
S35,2026-03-01,research,NBER,Artificial Intelligence Productivity and the Workforce,https://www.nber.org/papers/w34984,productivity paradox and labor reallocation
S36,2026-05-18,research,Korinek and McKelvey,Measuring the AI Economy,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6813982,quality-adjusted AI output and efficiency
S37,2026-02-01,research,NBER,Industrial Policies for Multi-Stage Production,https://www.nber.org/papers/w34884,local-content cost and capacity effects
S38,2026-02-01,research,NBER,An Anatomy of the Great Reallocation in US Supply Chain Trade,https://www.nber.org/papers/w34490,trade rerouting rather than deglobalization
S39,2026-03-20,data,World Trade Organization,AI Investment and Middle East Conflict Shape Global Trade,https://www.wto.org/english/news_e/news26_e/blgrs_20mar26_332_e.htm,MFN decline and AI-goods trade
S40,2026-07-30,data,U.S. International Trade Commission,DataWeb official merchandise trade statistics,https://dataweb.usitc.gov/,effective tariff resolution
S41,2026-06-10,company,Samsung Semiconductor,Samsung Austin and Taylor Economic Impact,https://semiconductor.samsung.com/sas/local-news/samsung-austin-semiconductors-two-campuses-inject-10-9b-into-central-texas-economy-in-2025/,Taylor 2nm execution signal
S42,2026-02-28,company,Intel,Ohio One Construction Timeline Update,https://newsroom.intel.com/corporate/ohio-one-construction-timeline-update,semiconductor delay base rate
S43,2026-06-04,company,TSMC,2026 Annual General Meeting Minutes,https://investor.tsmc.com/sites/ir/shareholders-meeting/2026-06-04/2026AGM_Minutes_wmn.pdf,Arizona production timetable
S44,2026-04-01,interview,Bridgewater Daily Observations,Global Outlook with Greg Jensen,https://open.spotify.com/episode/5BgxpVoYDs64pwt6ZYM9gJ,scenario and bottleneck stress test
S45,2026-05-18,interview,Bloomberg,Nvidia CEO Jensen Huang and Dell CEO Michael Dell,https://www.listennotes.com/podcasts/bloomberg/nvidia-ceo-jensen-huang-dell-WCVAxR5gr74/,supply-chain constraint management signal
S46,2026-02-28,interview,CBS News,Interview with Anthropic CEO Dario Amodei,https://www.cbsnews.com/news/anthropic-ceo-dario-amodei-full-transcript/,capability and labor tail-risk signal
S47,2026-07-24,interview,Axios,Nvidia's Huang says no chip bust for a while,https://www.axios.com/2026/07/24/nvidia-chips-ai-boom,AI capex upside view
S48,2026-07-30,policy,European Commission,AI Gigafactories,https://commission.europa.eu/topics/competitiveness/competitiveness-coordination-tool-projects/ai-gigafactories_en,up-to-five target and construction schedule
S49,2026-06-18,data,U.S. Census Bureau,BTOS AI Supplement Release,https://www.census.gov/newsroom/press-releases/2026/btos-june-18.html,official AI-use question and release protocol
S50,2025-12-01,research,NBER,Firm Productivity and Learning with Digital Technologies,https://www.nber.org/papers/w32938,multi-year organizational learning after cloud adoption
